ADD_USER_VIA_MENU,2025-06-09 20:16:07
CREATE_USER,2025-06-09 20:25:18
ADD_USER_VIA_MENU,2025-06-09 20:25:18
READ_ALL_RESTAURANTS,2025-06-09 20:28:13
DELETE_RESTAURANT,2025-06-09 20:28:19
DELETE_RESTAURANT_VIA_MENU,2025-06-09 20:28:19
READ_ALL_RESTAURANTS,2025-06-09 20:28:21
READ_ALL_RESTAURANTS,2025-06-09 20:28:27
READ_ALL_RESTAURANTS,2025-06-09 20:29:23
ADD_ADDRESS_VIA_MENU,2025-06-09 20:29:34
ADD_ADDRESS_VIA_MENU,2025-06-09 20:30:47
READ_ALL_RESTAURANTS,2025-06-09 20:31:52
CREATE_ADDRESS,2025-06-09 20:31:59
ADD_ADDRESS_VIA_MENU,2025-06-09 20:31:59
READ_ALL_ADDRESSES,2025-06-09 20:32:00
DELETE_ADDRESS,2025-06-09 20:32:05
DELETE_ADDRESS_VIA_MENU,2025-06-09 20:32:05
READ_ALL_ADDRESSES,2025-06-09 20:32:07
READ_ALL_ADDRESSES,2025-06-09 20:32:17
DELETE_ADDRESS,2025-06-09 20:33:05
DELETE_ADDRESS_VIA_MENU,2025-06-09 20:33:05
READ_ALL_ADDRESSES,2025-06-09 20:33:06
